         41          1         19      70,00       3,00      35,10       3,00          2         17          0          3f          3          1          0          1          0          0          0          1          1          1          1          0          1          0          0          0
         49          0         11      40,00       2,00      20,10       2,00          1          8          0          2m          4          0          0          0          0          0          0          0          1          1          1          0          1          0          0          1
         64          0         36     102,00       4,00      49,00       3,00          3         22          1          3f          1          1          1          1          1          0          1          0          1          1          1          0          0          0          0          1
         39          0          8      60,00       3,00      30,20       3,00          4         11          0          2m          2          0          0          1          0          1          1          0          1          1          1          1          1          1          1          1
         53          0          8      78,00       4,00      38,30       3,00          2         17          0          3m          1          0          0          0          0          0          0          1          1          1          1          0          0          0          1          1
         38          1         17      43,00       2,00      20,90       2,00          3         11          0          2f          3          1          1          1          1          1          0          0          1          1          1          0          0          1          0          1
         46          1          6      31,00       2,00      16,20       2,00          1         15          0          3f          2          0          0          0          0          0          0          0          1          1          1          0          0          0          1          1
         58          0          2      60,00       3,00      29,10       2,00          4          1          0          1m          1          0          1          0          0          0          0          0          1          1          1          0          1          0          0          1
         25          0          0      58,00       3,00      28,80       2,00          3          4          0          1f          1          1          0          1          1          1          1          1          1          1          1          1          1          1          1          1
         57          0         28      92,00       4,00      46,60       3,00          2         25          0          3f          3          0          0          0          0          0          1          1          1          1          1          0          1          0          0          1
         47          0         21      48,00       2,00      24,00       2,00          1         23          0          3m          1          0          0          0          0          0          0          1          1          1          1          0          0          0          0          1
         21          0          0      13,00       1,00       6,40       1,00          3          0          0          1f          5          0          0          0          0          0          0          1          1          1          1          0          0          0          1          1
         45          1         21      67,00       3,00      34,10       3,00          1         20          0          3f          2          1          0          1          0          0          1          1          1          1          1          0          0          1          0          1
         56          0          7     213,00       4,00      70,60       3,00          4         30          0          3f          1          1          0          1          0          0          1          1          1          1          1          1          1          0          1          1
         24          0          2      19,00       1,00       9,60       1,00          2          0          0          1m          1          0          0          0          0          0          1          1          1          1          1          0          0          1          0          0
         41          0         13      59,00       3,00      28,90       2,00          3         17          0          3m          1          1          0          0          0          1          1          1          1          1          1          0          0          0          1          1
         22          0          0      45,00       2,00      21,30       2,00          4          0          0          1f          3          0          0          0          0          0          0          0          1          1          1          0          1          0          1          1
         54          1          9      35,00       2,00      18,10       2,00          2          7          0          2m          2          1          1          1          1          1          1          0          1          1          1          1          0          0          0          1
         49          0          0      94,00       4,00      47,60       3,00          2         17          0          3f          3          1          1          0          0          0          0          0          1          1          1          1          0          0          1          1
         49          0         12      35,00       2,00      17,40       2,00          1          4          0          1m          1          0          0          0          0          0          1          0          1          1          1          0          0          0          1          1
         51          0          0      47,00       2,00      23,30       2,00          5          3          0          1f          1          0          1          1          1          0          1          1          1          1          1          1          1          1          0          0
         58          1         10     873,00       4,00      73,60       3,00          2         34          0          3f          2          1          0          0          0          0          1          1          1          1          1          0          0          0          1          1
         30          0         10      41,00       2,00      20,00       2,00          4          4          0          1m          1          0          1          0          0          1          1          1          1          1          1          0          1          0          0          1
         48          0         22     109,00       4,00      55,40       3,00          4          8          0          2m          1          1          1          0          1          1          1          1          1          1          1          0          1          0          1          1
         36          0         17      86,00       4,00      41,90       3,00          4         12          0          2f          1          1          0          1          0          0          0          1          1          1          1          0          0          0          1          1
         33          0          1      37,00       2,00      18,30       2,00          2          3          0          1f          1          1          0          0          0          0          1          1          1          1          1          0          1          0          1          1
         51          0          5      30,00       2,00      14,60       1,00          2          6          0          2f          1          0          0          1          0          0          0          1          1          0          1          0          1          0          1          1
         45          1          0      38,00       2,00      18,80       2,00          4          4          0          1f          4          0          0          1          0          1          0          0          1          1          1          0          1          0          1          1
         56          1         12      50,00       3,00      24,60       2,00          1         11          0          2f          2          0          0          1          0          0          1          1          1          1          1          0          0          0          0          1
         48          1          7      41,00       2,00      19,70       2,00          2         15          0          3m          4          0          1          1          0          0          0          1          1          1          1          0          1          0          0          0
         53          0         10      52,00       3,00      26,20       2,00          2          8          0          2f          1          0          0          1          0          0          0          1          1          1          1          0          0          0          0          1
         28          0          9      28,00       2,00      14,30       1,00          2          6          0          2m          1          0          0          0          0          0          1          1          1          1          1          0          0          0          1          1
         23          1          1      15,00       1,00       7,30       1,00          2          2          0          1m          4          0          1          0          0          0          0          0          1          1          0          0          0          0          1          1
         67          1          6      44,00       2,00      21,70       2,00          3          2          0          1f          2          1          0          0          0          0          1          1          1          0          1          0          1          0          1          1
         68          1         41      25,00       2,00      12,20       1,00          2         10          1          2m          2          0          1          1          1          0          0          0          1          1          1          0          0          0          0          1
         56          1          5      46,00       2,00      23,50       2,00          2          9          0          2m          3          1          1          1          0          0          1          0          1          1          1          0          0          0          0          0
         43          1          8     109,00       4,00      53,70       3,00          2         20          0          3f          2          0          0          0          0          0          0          0          1          1          1          0          0          0          1          1
         28          0          7      24,00       1,00      11,90       1,00          3          2          0          1m          1          1          0          1          0          1          0          1          1          1          1          0          1          0          1          1
         39          0          6      57,00       3,00      27,80       2,00          3         12          0          2f          1          1          1          1          0          0          1          0          1          1          1          1          1          0          1          1
         37          0         16      24,00       1,00      11,60       1,00          3          7          0          2m          1          1          0          0          0          1          0          0          1          1          1          0          1          0          1          1
         32          1          3      30,00       2,00      14,70       1,00          3          7          0          2f          2          1          0          0          0          1          1          0          1          1          1          0          0          0          0          1
         55          0         29      65,00       3,00      32,70       3,00          4         10          0          2f          1          1          1          0          1          0          1          1          1          1          1          1          1          1          0          1
         44          1         15      60,00       3,00      30,60       3,00          3         14          0          2f          2          1          1          0          0          1          1          1          1          1          1          1          0          0          0          1
         48          0         28     321,00       4,00      78,20       3,00          5         11          0          2m          1          1          1          1          0          1          1          0          1          1          1          0          1          1          0          1
         36          0          8      51,00       3,00      25,00       2,00          3          3          0          1m          1          0          0          0          0          1          1          0          1          1          1          0          1          0          1          1
         28          1          1      67,00       3,00      32,90       3,00          1          7          0          2f          6          0          1          1          0          1          1          0          1          1          1          0          0          0          0          1
         38          1         12      50,00       3,00      25,60       2,00          3          9          0          2m          6          0          0          1          0          0          0          0          1          1          1          0          0          0          0          1
         30          1          0      20,00       1,00      10,30       1,00          3          3          0          1f          4          1          0          1          0          0          1          0          1          1          1          0          0          0          1          1
         19          1          0      13,00       1,00       6,60       1,00          2          0          0          1f          3          0          0          0          0          0          0          0          1          0          1          0          1          0          1          1
         39          0          2      43,00       2,00      21,30       2,00          4          8          0          2m          1          1          1          0          0          1          1          1          1          1          1          1          1          1          1          1
         51          0         10      75,00       4,00      37,80       3,00          4          6          0          2f          1          0          0          1          0          0          1          1          1          1          1          0          0          0          1          1
         41          0         20     248,00       4,00      71,50       3,00          4          6          0          2f          1          1          1          0          1          1          1          1          1          1          1          0          1          0          0          1
         38          0          7      42,00       2,00      20,80       2,00          2          3          0          1m          1          0          0          0          0          0          0          1          1          1          1          0          0          0          1          1
         56          1         34     376,00       4,00      75,50       3,00          1         35          0          3f          2          0          0          0          0          0          0          1          1          1          1          0          0          1          1          1
         54          0          1      28,00       2,00      14,00       1,00          3          1          0          1m          1          1          1          1          0          0          1          1          1          1          1          1          1          0          1          1
         46          1          0      23,00       1,00      11,70       1,00          3          1          0          1f          5          1          0          1          0          0          1          1          1          1          1          0          1          1          1          1
         40          0         11      34,00       2,00      16,70       2,00          1         14          0          2f          1          0          1          1          1          0          0          1          1          1          1          0          0          0          0          1
         30          0          4      23,00       1,00      11,70       1,00          4          3          0          1f          1          0          0          0          0          1          0          0          1          1          1          0          0          0          1          1
         29          0          2      25,00       2,00      12,10       1,00          2         10          0          2m          3          0          0          0          0          0          0          1          1          0          1          0          0          0          0          1
         30          0         10      27,00       2,00      13,40       1,00          1          3          0          1f          1          0          0          0          0          0          0          1          1          1          1          0          0          0          0          1
         53          0          8     168,00       4,00      87,10       3,00          3         24          0          3m          1          0          0          1          1          1          1          1          1          1          1          0          1          0          1          0
         51          1         24     140,00       4,00      69,60       3,00          1         32          0          3m          2          1          0          1          1          0          1          1          1          1          1          0          0          0          0          0
         40          1         15      57,00       3,00      28,10       2,00          4         12          0          2m          2          1          1          0          0          1          0          0          1          1          1          0          1          0          1          1
         66          1         34      30,00       2,00      15,20       2,00          1          4          0          1f          4          0          1          1          1          0          0          1          1          1          1          0          0          0          1          1
         61          1         18      23,00       1,00      11,50       1,00          2         27          1          3m          2          0          1          0          0          0          1          0          1          1          1          0          0          0          0          0
         61          0          6      64,00       3,00      32,60       3,00          3         25          0          3f          1          0          1          0          0          1          0          1          1          1          1          1          1          1          1          1
         23          0          0      19,00       1,00       9,50       1,00          4          0          0          1m          1          0          1          0          0          0          0          0          1          1          1          1          1          0          0          0
         51          1         26      86,00       4,00      43,60       3,00          3         10          0          2m          3          0          0          0          0          0          0          0          1          1          1          0          0          0          1          1
         47          1          1      28,00       2,00      13,90       1,00          3          8          0          2m          8          1          1          1          0          1          1          1          1          1          1          0          1          1          0          1
         59          1         18     209,00       4,00      75,30       3,00          2         22          0          3f          2          1          1          0          1          0          1          1          1          1          1          1          0          0          0          0
         25          1          5      27,00       2,00      13,10       1,00          2          2          0          1f          3          0          0          0          0          0          0          1          1          1          1          0          0          0          1          1
         63          0         31     478,00       4,00      72,40       3,00          1         45          0          3m          2          0          0          1          0          0          0          0          1          1          1          0          0          0          0          1
         41          1          8      49,00       2,00      23,60       2,00          4         14          0          2f          6          1          1          0          0          8          1          1          1          1          1          0          0          0          1          1
         63          1         10     246,00       4,00      65,20       3,00          4         28          0          3m          3          1          1          1          0          1          1          1          1          1          1          1          1          1          0          1
         41          1          3      27,00       2,00      13,50       1,00          2          4          0          1f          4          0          1          0          0          0          0          0          1          1          1          0          0          0          1          1
         47          1         16      64,00       3,00      32,50       3,00          3         23          0          3f          2          1          0          1          0          1          1          0          1          1          1          1          1          1          0          1
         42          1          9      49,00       2,00      24,20       2,00          1         12          0          2f          2          0          0          0          0          0          0          0          1          1          1          0          0          0          1          1
         35          1          5      49,00       2,00      24,50       2,00          4          9          0          2f          2          1          0          0          0          0          0          1          1          1          1          0          1          0          1          1
         24          0          2      23,00       1,00      11,60       1,00          4          1          0          1m          1          0          0          0          0          0          0          1          1          1          1          0          0          0          0          1
         22          0          3      23,00       1,00      11,90       1,00          4          0          0          1f          1          0          0          0          0          0          0          0          1          1          1          0          0          0          1          1
         32          1         12      59,00       3,00      29,20       2,00          5          5          0          2m          4          1          1          0          0          1          1          1          1          1          1          0          1          1          0          1
         50          1         20      58,00       3,00      29,90       2,00          1          8          0          2m          2          0          1          0          0          1          0          0          1          1          1          0          1          0          1          1
         44          1          8      46,00       2,00      22,90       2,00          1         18          0          3m          2          0          0          0          0          0          0          0          1          1          1          0          0          0          1          1
         32          1         12      31,00       2,00      15,00       2,00          4          1          0          1m          2          1          1          1          1          8          1          1          0          1          1          0          1          0          1          1
         65          0         43      40,00       2,00      20,40       2,00          1         10          0          2f          1          0          0          1          0          0          1          0          1          1          1          0          0          0          0          1
         47          0         21     181,00       4,00      90,30       3,00          2         21          0          3f          3          1          0          1          0          0          0          1          1          1          1          0          0          0          1          1
         41          0         13      79,00       4,00      39,00       3,00          3         16          0          3m          1          1          0          0          0          1          0          1          1          1          1          0          1          0          1          1
         48          0         29     144,00       4,00      70,90       3,00          2         14          0          2f          1          0          1          1          0          1          0          0          1          1          1          0          1          0          0          1
         29          1          4      22,00       1,00      11,10       1,00          4          0          0          1m          3          1          1          0          0          1          0          1          1          1          1          1          1          0          1          1
         32          0          0      25,00       2,00      12,30       1,00          1         13          0          2m          1          0          0          0          0          0          0          0          1          1          1          0          0          0          1          1
         30          0          1      51,00       3,00      25,90       2,00          1         14          0          2f          1          0          0          0          0          0          1          0          1          1          1          0          0          0          1          1
         53          0         34     136,00       4,00      66,30       3,00          4         21          0          3f          1          1          1          1          0          0          0          0          1          1          1          0          1          1          0          1
         58          0         27     385,00       4,00      77,80       3,00          2         34          0          3m          2          1          1          1          0          1          0          1          1          1          1          0          0          0          0          1
         26          0          6      41,00       2,00      20,30       2,00          2          0          0          1m          3          0          0          1          0          0          1          1          1          1          1          0          0          0          1          1
         25          1          6      23,00       1,00      11,00       1,00          4          0          0          1m          5          1          0          0          0          0          1          0          1          1          1          0          0          1          0          1
         51          1         20      78,00       4,00      38,30       3,00          2         14          0          2f          5          0          1          0          1          1          1          0          1          1          1          0          1          0          0          1
         62          1          5      49,00       2,00      24,60       2,00          2          7          0          2f          2          0          0          0          0          0          0          0          1          1          1          0          0          0          0          1
         46          0          7      83,00       4,00      40,00       3,00          2         14          0          2f          1          0          0          0          0          0          0          0          1          1          1          0          1          0          1          1
         32          1         13      45,00       2,00      22,30       2,00          2          7          0          2m          4          1          1          1          1          0          1          1          1          1          1          1          0          0          0          1
         50          1          3      40,00       2,00      20,70       2,00          4          1          0          1m          6          0          0          0          0          0          1          0          1          1          1          0          0          0          1          1
         30          1          1      30,00       2,00      14,70       1,00          2          9          0          2m          4          0          1          1          0          0          0          0          1          1          1          0          1          0          0          1
         54          0         21      39,00       2,00      19,40       2,00          1          7          0          2f          1          0          1          1          0          0          1          0          1          1          1          0          1          0          0          1
         29          1          3      76,00       4,00      37,70       3,00          4          4          0          1f          2          0          0          0          0          1          1          0          1          1          0          0          1          1          1          1
         44          1         13      74,00       3,00      37,10       3,00          2         12          0          2f          2          1          1          0          1          8          1          1          1          1          1          0          0          0          1          1
         23          0          0      24,00       1,00      11,90       1,00          4          0          0          1m          1          1          0          0          0          1          0          1          1          1          1          1          1          1          1          1
         35          0          7      56,00       3,00      28,40       2,00          4          1          0          1f          1          0          0          0          0          0          0          0          1          1          1          0          1          0          1          1
         24          0          5      22,00       1,00      11,10       1,00          2          0          0          1m          2          0          0          0          1          0          0          1          1          1          1          1          1          0          1          1
         49          1         21     117,00       4,00      57,80       3,00          3         16          0          3f          5          1          1          1          0          1          0          0          1          1          1          0          1          0          0          1
         51          1          1     130,00       4,00      64,70       3,00          5         18          0          3f          3          1          1          1          0          0          1          1          1          1          1          1          0          0          0          1
         32          0          1      26,00       2,00      13,30       1,00          3          7          0          2m          2          0          1          0          0          0          0          0          1          1          1          0          1          0          1          1
         56          1          1      36,00       2,00      17,90       2,00          1         13          0          2m          2          0          0          1          0          0          0          0          1          1          1          0          0          0          1          1
         38          1         14      48,00       2,00      21,90       2,00          3          1          0          1f          6          1          1          0          0          0          0          0          1          1          1          0          0          1          0          1
         61          1          8      11,00       1,00       5,40       1,00          2         14          1          2m          2          0          0          0          0          0          1          1          0          0          0          0          0          0          1          0
         55          0         13     188,00       4,00      94,30       3,00          2         33          0          3m          1          0          1          0          0          1          1          1          1          1          1          0          0          0          0          1
         48          1          3      25,00       2,00      12,70       1,00          4          5          0          2f          2          0          1          1          0          0          0          0          1          1          1          0          0          0          0          1
         51          1          2      48,00       2,00      24,00       2,00          3          7          0          2m          3          1          1          0          0          1          1          1          1          1          1          0          0          0          1          0
         20          1          0      19,00       1,00       9,60       1,00          2          1          0          1m          8          0          0          0          0          0          0          0          1          1          1          0          0          0          0          1
         68          1         23      22,00       1,00      10,80       1,00          2         24          1          3m          2          0          0          0          0          0          0          0          1          1          1          0          0          0          1          1
         46          0         23      31,00       2,00      15,30       2,00          1         11          0          2f          1          1          0          1          0          0          0          1          1          1          1          1          0          0          1          1
         35          1         15      59,00       3,00      31,00       3,00          2          3          0          1m          4          0          0          0          0          1          1          1          1          1          1          0          0          0          0          1
         23          0          3      13,00       1,00       6,40       1,00          2          1          0          1m          1          0          0          0          0          0          1          0          1          0          1          0          1          0          1          1
         72          0         49      23,00       1,00      11,50       1,00          4         11          1          2f          1          1          1          0          1          0          1          0          1          1          1          0          1          0          0          0
