custid	region	townsize	gender	age	agecat	birthmonth	ed	edcat	jobcat	union	employ	empcat	retire	income	lninc	inccat	debtinc	creddebt	lncreddebt	othdebt	lnothdebt	default	jobsat	marital	spoused	spousedcat	reside	pets	pets_cats	pets_dogs	pets_birds	pets_reptiles	pets_small	pets_saltfish	pets_freshfish	homeown	hometype	address	addresscat	cars	carown	cartype	carvalue	carcatvalue	carbought	carbuy	commute	commutecat	commutetime	commutecar	commutemotorcycle	commutecarpool	commutebus	commuterail	commutepublic	commutebike	commutewalk	commutenonmotor	telecommute	reason	polview	polparty	polcontrib	vote	card	cardtype	cardbenefit	cardfee	cardtenure	cardtenurecat	card2	card2type	card2benefit	card2fee	card2tenure	card2tenurecat	carditems	cardspent	card2items	card2spent	active	bfast	tenure	churn	longmon	lnlongmon	longten	lnlongten	tollfree	tollmon	lntollmon	tollten	lntollten	equip	equipmon	lnequipmon	equipten	lnequipten	callcard	cardmon	lncardmon	cardten	lncardten	wireless	wiremon	lnwiremon	wireten	lnwireten	multline	voice	pager	internet	callid	callwait	forward	confer	ebill	owntv	hourstv	ownvcr	owndvd	owncd	ownpda	ownpc	ownipod	owngame	ownfax	news	response_01	response_02	response_03
5621-QSZPSF-NF2	Zone 4	> 250,000	Female	59	50-64	July	19	College degree	Managerial and Professional	No	8	6 to 10	No	47	3,85014760171006	$25 - $49	8,6	1,358112	,306095499962496	2,683888	,987266489475726	No	Neutral	Unmarried	Not married	Not married	1	7	3	0	0	0	0	0	4	Rent	Multiple-Family	14	8 to 15	3	Own	Domestic	28	Standard	No	Yes	Car	Single occupancy	17	Yes	No	No	Yes	No	No	No	No	No	No	No response	Moderate	No	No	Yes	Discover	Platinum	Other	No	16	More than 15	American Express	None	Other	No	17	More than 15	11	488,97	7	322,07	No	Cereal	50	Yes	8,55	2,14593128294867	446,55	6,1015513761299	No	0	 	0	 	Yes	31,2	3,44041809481544	1568,35	7,35777939028747	Yes	19	2,94443897916644	930	6,8351845861473	No	0	 	0	 	Yes	No	No	Cable modem	No	Yes	No	No	Yes	Yes	26	Yes	Yes	Yes	No	Yes	Yes	No	No	No	No	No	No
8241-PWPONH-62O	Zone 2	2,500-9,999	Female	33	25-34	October	8	Did not complete high school	Sales and Office	No	4	2 to 5	No	19	2,94443897916644	Under $25	,9	,130131	-2,03921364359993	,040869	-3,1973834495301	No	Somewhat satisfied	Married	9	Did not complete high school	5	6	0	0	0	0	0	0	6	Rent	Multiple-Family	5	4 to 7	2	Own	Import	9,3	Economy	No	Yes	Bus	Public transportation	28	Yes	No	No	Yes	No	No	No	Yes	No	No	Prices	Moderate	No	No	No	Mastercard	Gold	None	No	6	6 to 10	Visa	Gold	Airline miles	No	2	2 to 5	14	338,26	2	55,17	No	Cereal	9	Yes	3,6	1,28093384546206	37	3,61091791264422	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	No	No	None	No	No	No	No	No	Yes	27	No	Yes	Yes	No	No	No	No	No	No	No	No	No
8795-FYOXCT-P09	Zone 5	50,000-249,999	Male	44	35-49	March	10	Did not complete high school	Managerial and Professional	No	12	11 to 15	No	73	4,29045944114839	$50 - $74	2,8	1,250928	,223885675871647	,793072	-,231841267017406	No	Highly satisfied	Unmarried	Not married	Not married	1	1	0	1	0	0	0	0	0	Own	Condominium/Townhouse	9	8 to 15	1	Own	Import	38,5	Standard	No	Yes	Car	Single occupancy	25	Yes	No	No	No	No	No	No	No	No	No	No response	Moderate	Yes	No	Yes	Discover	Other	None	Yes	1	Less than 2	American Express	Platinum	None	No	1	Less than 2	12	534,36	5	198,39	No	Cereal	5	No	6,75	1,90954250488444	29,9	3,39785848039664	No	0	 	0	 	No	0	 	0	 	Yes	7	1,94591014905531	30	3,40119738166216	No	0	 	0	 	No	No	No	Dial-up	Yes	Yes	Yes	Yes	No	Yes	21	Yes	No	Yes	No	Yes	No	No	No	No	No	No	No
1705-NMIQNO-IC4	Zone 3	50,000-249,999	Male	58	50-64	January	18	College degree	Managerial and Professional	No	3	2 to 5	No	63	4,14313472639153	$50 - $74	10,5	1,924965	,654907785756274	4,690035	1,54544004511691	No	Neutral	Unmarried	Not married	Not married	1	0	0	0	0	0	0	0	0	Own	Mobile Home	32	More than 25	0	N/A	N/A	N/A	N/A	N/A	No	Carpool	Multiple occupancy	16	No	No	Yes	Yes	No	No	No	No	No	No	No response	Moderate	No	No	Yes	Discover	Platinum	Other	No	25	More than 15	Mastercard	Other	None	No	17	More than 15	10	593,5	5	384,94	Yes	Energy bar	58	No	12,1	2,4932054526027	680,75	6,52319513155387	Yes	30,75	3,42588999425253	1776,7	7,48251299004186	No	0	 	0	 	Yes	24,5	3,19867311755068	1415	7,25488481007734	No	0	 	0	 	Yes	No	No	None	Yes	No	Yes	Yes	No	Yes	21	Yes	Yes	Yes	No	Yes	No	No	No	Yes	No	No	No
9205-PAZEXY-90Q	Zone 2	> 250,000	Female	72	>65	December	20	Post-undergraduate degree	Agricultural and Natural Resources	Yes	27	More than 15	Yes	17	2,83321334405622	Under $25	9,8	1,276156	,243852434503105	,389844	-,942008619879784	No	Somewhat satisfied	Married	17	College degree	2	0	0	0	0	0	0	0	0	Own	Single-family	14	8 to 15	1	Own	Import	9,3	Economy	No	No	Telecommute	Telecommute	32	No	No	No	Yes	No	No	No	No	No	Yes	No response	Slightly liberal	Yes	No	Yes	Mastercard	Gold	Cash back	No	33	More than 15	Discover	Other	Airline miles	Yes	26	More than 15	12	233,17	3	39,93	Yes	Cereal	67	No	13,9	2,63188884013665	954,05	6,86071608097635	No	0	 	0	 	Yes	38,55	3,65195610000934	2580,75	7,8558353333457	Yes	23,25	3,14630513203337	1525	7,32974968904151	No	0	 	0	 	Yes	No	No	None	No	No	Yes	No	Yes	Yes	24	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	No	No	No
4225-PZZDIY-IBH	Zone 3	> 250,000	Female	66	>65	December	13	High school degree	Operation, Fabrication, General Labor	Yes	31	More than 15	Yes	23	3,13549421592915	Under $25	9,3	,934743	-,0674836537862783	1,204257	,185862779257822	No	Highly satisfied	Married	12	High school degree	2	9	3	0	0	0	0	0	6	Rent	Multiple-Family	29	More than 25	3	Own	Domestic	11,6	Economy	No	Yes	Car	Single occupancy	14	Yes	No	No	No	Yes	No	No	Yes	No	No	Convenience	Liberal	Yes	Yes	Yes	Mastercard	Platinum	Other	No	40	More than 15	Discover	Gold	None	No	30	More than 15	9	297,47	4	98,65	No	Oatmeal	72	No	38,7	3,65583960003574	2854,9	7,95679209520697	Yes	27	3,29583686600433	1919	7,5595594960077	No	0	 	0	 	Yes	68,5	4,22683374526818	4865	8,4898219946201	Yes	43,25	3,76699723337789	3159,25	8,05808993663879	Yes	Yes	Yes	Dial-up	Yes	Yes	Yes	Yes	No	Yes	22	Yes	Yes	Yes	No	Yes	No	No	Yes	Yes	No	No	Yes
0758-EQEGIQ-3OF	Zone 1	> 250,000	Female	57	50-64	October	17	College degree	Agricultural and Natural Resources	No	24	More than 15	No	171	5,14166355650266	$125+	9,5	1,803195	,589560091451261	14,441805	2,67012712565283	No	Highly satisfied	Married	16	Some college	3	1	0	1	0	0	0	0	0	Own	Single-family	8	8 to 15	2	Own	Import	75,8	Luxury	No	Yes	Car	Single occupancy	19	Yes	Yes	No	No	No	No	No	No	No	No	No response	Slightly conservative	Yes	No	No	Discover	None	None	No	19	More than 15	Mastercard	Gold	Other	No	13	11 to 15	14	305,94	4	96,23	Yes	Cereal	48	No	4,15	1,42310833424261	214,85	5,369940110221	Yes	28,75	3,35863776724336	1444,65	7,27562235667498	Yes	43,15	3,76468241752944	1990,25	7,59601553796869	Yes	29,25	3,37587957367787	1315	7,18159194461187	Yes	40,2	3,69386699562498	1840,45	7,51776538591923	No	Yes	Yes	Cable modem	Yes	Yes	No	Yes	Yes	Yes	17	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes
0649-TBFJFL-QU4	Zone 5	50,000-249,999	Male	63	50-64	May	14	High school degree	Operation, Fabrication, General Labor	Yes	29	More than 15	No	424	6,04973345523196	$125+	10,7	13,111352	2,57347841984202	32,256648	3,47372416153283	No	Somewhat satisfied	Married	20	Post-undergraduate degree	2	0	0	0	0	0	0	0	0	Own	Condominium/Townhouse	29	More than 25	3	Own	Domestic	88,6	Luxury	No	Yes	Car	Single occupancy	29	Yes	No	No	No	Yes	No	No	No	No	Yes	No response	Slightly liberal	No	No	Yes	Mastercard	Platinum	Cash back	No	36	More than 15	Visa	Platinum	Airline miles	Yes	29	More than 15	10	495,75	10	798,31	No	Energy bar	70	No	34,8	3,54961738678043	2540,15	7,83997841338701	Yes	45,25	3,81220267014594	3165,45	8,06005050456643	No	0	 	0	 	Yes	19,75	2,98315349134713	1325	7,18916773842032	No	0	 	0	 	Yes	Yes	No	None	Yes	No	Yes	Yes	Yes	Yes	24	Yes	Yes	Yes	No	No	No	No	No	Yes	No	No	No
2228-KOLOPU-FY3	Zone 5	< 2,500	Female	28	25-34	April	11	Did not complete high school	Managerial and Professional	No	4	2 to 5	No	23	3,13549421592915	Under $25	4,8	,190992	-1,65552373662945	,913008	-,0910106361035421	No	Highly dissatisfied	Married	12	High school degree	3	10	1	0	0	0	0	0	9	Own	Single-family	5	4 to 7	0	N/A	N/A	N/A	N/A	N/A	Yes	Bus	Public transportation	30	No	No	No	Yes	No	No	No	No	No	Yes	No response	Slightly conservative	Yes	No	No	Visa	Gold	Other	No	10	6 to 10	Mastercard	Platinum	Airline miles	No	10	6 to 10	17	442,09	7	144,69	Yes	Energy bar	34	No	3,45	1,23837423104327	110,45	4,70456292986613	Yes	33	3,49650756146648	1099,65	7,00274722633771	No	0	 	0	 	Yes	16,5	2,80336038090653	545	6,30078579466324	No	0	 	0	 	No	No	No	None	Yes	Yes	Yes	Yes	No	Yes	16	Yes	Yes	Yes	Yes	No	No	No	No	No	Yes	No	No
3853-NVDCOJ-TIN	Zone 1	> 250,000	Female	78	>65	June	16	Some college	Managerial and Professional	No	10	6 to 10	Yes	22	3,09104245335832	Under $25	15,2	,692208	-,367868790494313	2,651792	,975235637875166	No	Neutral	Unmarried	Not married	Not married	1	0	0	0	0	0	0	0	0	Rent	Single-family	29	More than 25	2	Own	Import	10,8	Economy	No	Yes	Carpool	Multiple occupancy	23	Yes	No	Yes	No	No	No	No	No	No	No	No response	Liberal	No	Yes	No	Visa	Platinum	None	No	10	6 to 10	Mastercard	Gold	Cash back	No	7	6 to 10	1	8,11	0	0	Yes	Energy bar	14	No	7,3	1,98787434815435	85,6	4,4496852831477	No	0	 	0	 	Yes	24,85	3,21285775254264	341,75	5,83407947560406	Yes	31,75	3,4578927253387	350	5,85793315448346	No	0	 	0	 	Yes	No	No	Dial-up	No	No	No	No	Yes	Yes	22	Yes	Yes	No	No	Yes	Yes	No	No	No	No	No	No
0765-UXAFYM-PDR	Zone 3	10,000-49,999	Male	61	50-64	June	16	Some college	Managerial and Professional	No	4	2 to 5	No	35	3,55534806148941	$25 - $49	10,1	1,233715	,210029942568826	2,301285	,833467662574968	No	Neutral	Married	12	High school degree	2	0	0	0	0	0	0	0	0	Rent	Multiple-Family	29	More than 25	4	Lease	Domestic	9,4	Economy	Yes	No	Car	Single occupancy	34	Yes	No	No	Yes	No	No	No	No	No	No	No response	Liberal	No	No	No	American Express	Other	None	No	27	More than 15	Discover	Gold	Airline miles	No	15	11 to 15	8	271,98	7	240,38	No	Cereal	53	No	11,2	2,41591377830105	567,05	6,34044748326134	No	0	 	0	 	No	0	 	0	 	Yes	9,5	2,2512917986065	480	6,17378610390194	No	0	 	0	 	No	Yes	No	Dial-up	Yes	Yes	Yes	Yes	No	Yes	25	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	No	No	No
9937-SFPLRK-H9Y	Zone 2	2,500-9,999	Male	70	>65	September	17	College degree	Sales and Office	Yes	2	2 to 5	No	28	3,3322045101752	$25 - $49	9,3	1,195236	,178343655424731	1,408764	,342712724210667	No	Highly dissatisfied	Married	17	College degree	2	9	0	0	1	0	0	0	8	Rent	Multiple-Family	14	8 to 15	5	Own	Domestic	15,7	Economy	No	Yes	Car	Single occupancy	29	Yes	No	No	No	No	No	No	No	No	No	No response	Conservative	Yes	No	Yes	American Express	None	Airline miles	Yes	26	More than 15	Discover	Gold	Other	No	17	More than 15	8	267,71	3	79,54	Yes	Oatmeal	59	Yes	14,25	2,65675690671466	805,8	6,69183557275725	Yes	23,5	3,15700042115011	1366,65	7,22011776882798	No	0	 	0	 	Yes	15,25	2,72457950305342	840	6,73340189183736	No	0	 	0	 	Yes	No	Yes	Cable modem	No	Yes	No	Yes	No	Yes	21	Yes	Yes	Yes	No	Yes	No	Yes	No	No	No	Yes	No
0712-WQXYVV-HUP	Zone 4	> 250,000	Male	61	50-64	April	14	High school degree	Operation, Fabrication, General Labor	No	18	More than 15	Yes	12	2,484906649788	Under $25	21,5	,56502	-,57089415023211	2,01498	,700609269791075	No	Highly satisfied	Unmarried	Not married	Not married	1	0	0	0	0	0	0	0	0	Own	Condominium/Townhouse	12	8 to 15	3	Own	Domestic	5,8	Economy	Yes	No	Bus	Public transportation	25	Yes	No	No	Yes	No	No	No	No	No	No	No response	Slightly liberal	Yes	No	No	American Express	None	Cash back	No	24	More than 15	Mastercard	Platinum	None	No	22	More than 15	10	245,03	4	63,63	No	Oatmeal	61	No	8,35	2,12226153886276	476,95	6,16741166359122	No	0	 	0	 	Yes	29,1	3,37073817417745	1790,8	7,49041772636681	Yes	11,5	2,4423470353692	675	6,51471269087253	No	0	 	0	 	No	No	No	Cable modem	No	Yes	No	No	No	Yes	13	Yes	No	Yes	No	Yes	No	Yes	No	No	No	No	No
6441-FJUWZQ-7G8	Zone 3	2,500-9,999	Male	37	35-49	August	11	Did not complete high school	Managerial and Professional	Yes	2	2 to 5	No	29	3,36729582998647	$25 - $49	15,7	3,319137	1,19970480937917	1,233863	,210149898250209	Yes	Neutral	Unmarried	Not married	Not married	1	0	0	0	0	0	0	0	0	Rent	Multiple-Family	10	8 to 15	0	N/A	N/A	N/A	N/A	N/A	Yes	Train/Subway	Public transportation	29	No	No	No	Yes	Yes	No	No	No	No	No	No response	Moderate	No	No	No	Other	None	Cash back	Yes	12	11 to 15	Discover	Gold	Cash back	No	11	11 to 15	17	556,61	7	187,47	Yes	Energy bar	39	No	13,1	2,57261223020711	504,45	6,22346872685439	Yes	28,5	3,3499040872746	1028,1	6,93546771754867	Yes	43,5	3,77276093809464	1663,95	7,41694957285278	Yes	10,5	2,35137525716348	380	5,94017125272043	Yes	31,5	3,44998754583159	1199,2	7,08940994678839	Yes	Yes	Yes	Other	Yes	Yes	Yes	Yes	Yes	Yes	21	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
7634-AVNEXZ-7AG	Zone 1	10,000-49,999	Male	39	35-49	October	12	High school degree	Managerial and Professional	No	5	2 to 5	No	130	4,86753445045558	$125+	11,3	4,68611	1,54460281398849	10,00389	2,30297401735316	No	Highly satisfied	Married	14	High school degree	4	5	0	0	0	0	0	0	5	Own	Single-family	12	8 to 15	2	Own	Domestic	49,2	Luxury	Yes	No	Car	Single occupancy	32	Yes	No	No	Yes	Yes	No	No	No	No	No	No response	Extremely liberal	Yes	Yes	Yes	Discover	Other	Other	Yes	2	2 to 5	Mastercard	Gold	Cash back	No	1	Less than 2	12	453,74	5	245,14	No	Energy bar	6	No	1,5	,405465108108164	11,15	2,41143949790613	Yes	13,25	2,58399755243223	93	4,53259949315326	No	0	 	0	 	Yes	24,5	3,19867311755068	140	4,9416424226093	No	0	 	0	 	No	No	No	Dial-up	Yes	No	Yes	Yes	No	Yes	32	Yes	Yes	Yes	No	Yes	Yes	No	No	No	No	No	No
2041-PNMGHX-TXJ	Zone 4	10,000-49,999	Female	73	>65	November	14	High school degree	Service	No	28	More than 15	Yes	69	4,23410650459726	$50 - $74	14,8	1,164168	,152006668791596	9,047832	2,20252517100218	No	Neutral	Married	15	Some college	2	0	0	0	0	0	0	0	0	Rent	Multiple-Family	38	More than 25	1	Own	Import	22,8	Standard	Yes	No	Car	Single occupancy	27	Yes	No	No	Yes	No	No	No	Yes	No	No	No response	Slightly conservative	No	No	No	Visa	Gold	Airline miles	No	32	More than 15	Mastercard	Gold	Other	Yes	24	More than 15	6	212,67	2	80,44	No	Cereal	62	No	25,45	3,23671574299653	1565,6	7,35602441608187	Yes	17,75	2,87638551592142	1031,4	6,93867238161686	Yes	47,15	3,85333400907947	2874,15	7,96351225734382	Yes	10	2,30258509299405	595	6,38856140554563	Yes	53,2	3,9740583963476	3245,6	8,08505551189224	Yes	Yes	Yes	DSL	Yes	Yes	Yes	Yes	Yes	Yes	22	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No
